sepal_length,sepal_width,petal_length,petal_width,avg_width,season,species,quality
5.1,3.5,1.4,0.2,2.55,summer ,Iris-setosa,good quality
4.9,3,1.4,0.2,2.375,winter,Iris-setosa,bad quality
4.7,3.2,1.3,0.2,2.35,summer ,Iris-setosa,good quality
4.6,3.1,1.5,0.2,2.35,winter,Iris-setosa,bad quality
5,3.6,1.4,0.2,2.55,summer ,Iris-setosa,bad quality
5.4,3.9,1.7,0.4,2.85,winter,Iris-setosa,good quality
4.6,3.4,1.4,0.3,2.425,summer ,Iris-setosa,good quality
5,3.4,1.5,0.2,2.525,winter,Iris-setosa,good quality
4.4,2.9,1.4,0.2,2.225,summer ,Iris-setosa,bad quality
4.9,3.1,1.5,0.1,2.4,winter,Iris-setosa,bad quality
5.4,3.7,1.5,0.2,2.7,summer ,Iris-setosa,good quality
4.8,3.4,1.6,0.2,2.5,winter,Iris-setosa,good quality
4.8,3,1.4,0.1,2.325,summer ,Iris-setosa,bad quality
4.3,3,1.1,0.1,2.125,winter,Iris-setosa,good quality
5.8,4,1.2,0.2,2.8,summer ,Iris-setosa,good quality
5.7,4.4,1.5,0.4,3,winter,Iris-setosa,good quality
5.4,3.9,1.3,0.4,2.75,summer ,Iris-setosa,good quality
5.1,3.5,1.4,0.3,2.575,winter,Iris-setosa,bad quality
5.7,3.8,1.7,0.3,2.875,summer ,Iris-setosa,good quality
5.1,3.8,1.5,0.3,2.675,winter,Iris-setosa,good quality
5.4,3.4,1.7,0.2,2.675,summer ,Iris-setosa,bad quality
5.1,3.7,1.5,0.4,2.675,winter,Iris-setosa,good quality
4.6,3.6,1,0.2,2.35,summer ,Iris-setosa,good quality
5.1,3.3,1.7,0.5,2.65,winter,Iris-setosa,good quality
4.8,3.4,1.9,0.2,2.575,summer ,Iris-setosa,good quality
5,3,1.6,0.2,2.45,winter,Iris-setosa,bad quality
5,3.4,1.6,0.4,2.6,summer ,Iris-setosa,bad quality
5.2,3.5,1.5,0.2,2.6,winter,Iris-setosa,bad quality
5.2,3.4,1.4,0.2,2.55,summer ,Iris-setosa,good quality
4.7,3.2,1.6,0.2,2.425,winter,Iris-setosa,good quality
4.8,3.1,1.6,0.2,2.425,summer ,Iris-setosa,bad quality
5.4,3.4,1.5,0.4,2.675,winter,Iris-setosa,good quality
5.2,4.1,1.5,0.1,2.725,summer ,Iris-setosa,good quality
5.5,4.2,1.4,0.2,2.825,winter,Iris-setosa,bad quality
4.9,3.1,1.5,0.1,2.4,summer ,Iris-setosa,good quality
5,3.2,1.2,0.2,2.4,winter,Iris-setosa,good quality
5.5,3.5,1.3,0.2,2.625,summer ,Iris-setosa,bad quality
4.9,3.1,1.5,0.1,2.4,winter,Iris-setosa,bad quality
4.4,3,1.3,0.2,2.225,summer ,Iris-setosa,bad quality
5.1,3.4,1.5,0.2,2.55,winter,Iris-setosa,good quality
5,3.5,1.3,0.3,2.525,summer ,Iris-setosa,bad quality
4.5,2.3,1.3,0.3,2.1,winter,Iris-setosa,good quality
4.4,3.2,1.3,0.2,2.275,summer ,Iris-setosa,bad quality
